Date;Code INSEE region;vitesse_vent;vent_min;vent_faible;vent_moyen;vent_fort;vent_max;year;week;mois
08/02/2015;53;9.925;2.419;3.963;5.508;7.716;9.925;2015;6;2
08/02/2015;75;6.155;1.755;2.745;3.736;4.945;6.155;2015;6;2
08/02/2015;76;4.388461538;1.738;2.687;3.636;6.171;8.707;2015;6;2
08/02/2015;84;5.13125;1.134;2.192;3.249;4.19;5.131;2015;6;2
08/02/2015;93;4.128125;2.609;3.548;4.486;7.934;11.381;2015;6;2
15/02/2015;11;2.65;0.95;2.407;3.864;5.988;8.113;2015;7;2
15/02/2015;24;1.85625;1.419;2.386;3.353;4.858;6.363;2015;7;2
15/02/2015;27;2.7625;1.175;2.195;3.216;5.633;8.05;2015;7;2
15/02/2015;28;2.59375;2.594;3.912;5.23;7.166;9.103;2015;7;2
15/02/2015;32;2.3875;2.131;3.262;4.392;6.065;7.738;2015;7;2
15/02/2015;44;1.89;0.785;2.098;3.412;4.922;6.433;2015;7;2
15/02/2015;52;2.7125;2.213;2.882;3.551;4.782;6.013;2015;7;2
15/02/2015;53;2.41875;2.419;3.963;5.508;7.716;9.925;2015;7;2
15/02/2015;75;4.3175;1.755;2.745;3.736;4.945;6.155;2015;7;2
15/02/2015;76;3.1375;1.738;2.687;3.636;6.171;8.707;2015;7;2
15/02/2015;84;4.609375;1.134;2.192;3.249;4.19;5.131;2015;7;2
15/02/2015;93;2.80625;2.609;3.548;4.486;7.934;11.381;2015;7;2
22/02/2015;11;2.7125;0.95;2.407;3.864;5.988;8.113;2015;8;2
22/02/2015;24;1.95;1.419;2.386;3.353;4.858;6.363;2015;8;2
22/02/2015;27;1.6125;1.175;2.195;3.216;5.633;8.05;2015;8;2
22/02/2015;28;5.95;2.594;3.912;5.23;7.166;9.103;2015;8;2
22/02/2015;32;5.35;2.131;3.262;4.392;6.065;7.738;2015;8;2
22/02/2015;44;2.26;0.785;2.098;3.412;4.922;6.433;2015;8;2
22/02/2015;52;3.2125;2.213;2.882;3.551;4.782;6.013;2015;8;2
22/02/2015;53;6.059375;2.419;3.963;5.508;7.716;9.925;2015;8;2
22/02/2015;75;2.3075;1.755;2.745;3.736;4.945;6.155;2015;8;2
22/02/2015;76;1.7375;1.738;2.687;3.636;6.171;8.707;2015;8;2
22/02/2015;84;1.39375;1.134;2.192;3.249;4.19;5.131;2015;8;2
22/02/2015;93;2.946875;2.609;3.548;4.486;7.934;11.381;2015;8;2
01/03/2015;11;4.65;0.95;2.672;4.395;6.41;8.425;2015;9;3
01/03/2015;24;4.4375;1.538;2.719;3.901;6.266;8.631;2015;9;3
01/03/2015;27;2.95;1.45;2.728;4.006;6.178;8.35;2015;9;3
01/03/2015;28;7.515625;1.843;3.459;5.075;7.475;9.875;2015;9;3
01/03/2015;32;6.5125;2.044;3.442;4.841;7.183;9.525;2015;9;3
01/03/2015;44;4.3375;1.11;2.54;3.971;6.392;8.813;2015;9;3
